window,tf,bar_seconds,N,M,atr_mult,return,max_dd,n_trades,net_wr,sum_r,pf,fees,calmar,final_balance
2021-2023,4h,14400,15,10,2.5,0.490069,-0.141114,187,0.329730,51.9249,1.438377,614.48,3.472859,14900.69
2021-2023,4h,14400,15,10,3.0,0.304334,-0.138233,187,0.329730,35.7839,1.318638,479.37,2.201604,13043.34
2021-2023,4h,14400,20,5,1.5,0.633484,-0.170835,220,0.314554,69.8837,1.457289,1074.19,3.708159,16334.84
2021-2023,4h,14400,20,5,2.0,0.333791,-0.152315,214,0.327014,42.6941,1.303943,726.65,2.191458,13337.91
2021-2023,4h,14400,20,5,2.5,0.324747,-0.114409,209,0.339806,38.2934,1.358289,582.72,2.838480,13247.47
2021-2023,4h,14400,20,5,3.0,0.254223,-0.097344,207,0.346341,30.5555,1.330590,477.72,2.611589,12542.23
2021-2023,4h,14400,20,10,1.5,1.038135,-0.147774,185,0.292135,95.4804,1.704554,1082.46,7.025173,20381.35
2021-2023,4h,14400,20,10,2.0,0.523884,-0.130383,178,0.318182,57.8028,1.452383,694.37,4.018055,15238.84
2021-2023,4h,14400,20,10,2.5,0.620992,-0.086187,165,0.349693,59.4123,1.654510,555.70,7.205159,16209.92
2021-2023,4h,14400,20,10,3.0,0.480088,-0.079261,162,0.362500,47.6100,1.604005,434.11,6.057048,14800.88
2021-2023,4h,14400,20,15,1.5,0.952307,-0.146115,173,0.278788,90.8625,1.686111,973.68,6.517500,19523.07
2021-2023,4h,14400,20,15,2.0,0.523098,-0.137439,160,0.316456,57.3315,1.476960,619.23,3.806041,15230.98
2021-2023,4h,14400,20,15,2.5,0.612538,-0.070365,143,0.352113,58.1911,1.675494,485.97,8.705165,16125.38
2021-2023,4h,14400,20,15,3.0,0.479866,-0.056840,137,0.382353,46.9800,1.624732,374.42,8.442426,14798.66
2021-2023,4h,14400,30,5,1.5,0.836986,-0.142252,164,0.333333,77.0550,1.784093,875.96,5.883806,18369.86
2021-2023,4h,14400,30,5,2.0,0.424618,-0.108919,161,0.343750,46.1797,1.480037,602.50,3.898457,14246.18
2021-2023,4h,14400,30,5,2.5,0.331886,-0.072410,158,0.356688,36.4959,1.457472,470.24,4.583431,13318.86
2021-2023,4h,14400,30,5,3.0,0.220776,-0.079796,158,0.354430,26.0872,1.347468,382.95,2.766751,12207.76
2021-2023,4h,14400,30,10,1.5,1.041354,-0.151063,143,0.287770,91.7001,1.916763,852.35,6.893510,20413.54
2021-2023,4h,14400,30,10,2.0,0.557072,-0.116893,139,0.316547,57.4044,1.600480,574.52,4.765668,15570.72
2021-2023,4h,14400,30,10,2.5,0.528362,-0.090776,132,0.348485,51.6528,1.684751,447.38,5.820503,15283.62
2021-2023,4h,14400,30,10,3.0,0.392151,-0.088231,131,0.351145,40.1073,1.592320,358.57,4.444605,13921.51
2021-2023,4h,14400,30,15,1.5,1.098033,-0.160998,137,0.287879,95.9988,2.007581,773.62,6.820161,20980.33
2021-2023,4h,14400,30,15,2.0,0.556256,-0.134932,131,0.312977,58.2105,1.602585,516.24,4.122501,15562.56
2021-2023,4h,14400,30,15,2.5,0.514628,-0.099093,122,0.344262,50.9822,1.674412,388.80,5.193370,15146.28
2021-2023,4h,14400,30,15,3.0,0.388980,-0.098196,119,0.361345,39.9858,1.586538,311.24,3.961251,13889.80
2021-2023,4h,14400,30,20,1.5,0.879895,-0.152512,127,0.227642,83.9723,1.876595,667.08,5.769356,18798.95
