id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1684,BUY,2022-07-20 14:45,2022-07-20 15:00,2022-07-20 16:15,sl,24191.35,23815.30,23815.30,376.05,-13.13,0.79
1685,SELL,2022-07-20 17:00,2022-07-20 17:15,2022-07-20 19:00,sl,23506.62,23924.09,23924.09,417.47,-12.91,0.69
1686,SELL,2022-07-20 20:00,2022-07-20 20:15,2022-07-20 21:30,sl,23085.06,23515.68,23515.68,430.62,-12.74,0.65
1687,SELL,2022-07-21 02:15,2022-07-21 02:30,2022-07-21 07:30,time,23088.35,23456.01,22998.08,367.66,2.19,0.75
1688,SELL,2022-07-21 11:00,2022-07-21 11:15,2022-07-21 16:00,sl,22698.21,22929.47,22929.47,231.26,-13.16,1.18
1689,BUY,2022-07-21 16:00,2022-07-21 16:15,2022-07-21 22:30,time,22913.28,22575.49,23005.05,337.79,2.41,0.81
1690,SELL,2022-07-22 03:15,2022-07-22 03:30,2022-07-22 05:30,sl,22894.18,23112.67,23112.67,218.49,-13.12,1.25
1691,BUY,2022-07-22 07:15,2022-07-22 07:30,2022-07-22 07:30,sl,23265.69,23057.58,23057.58,208.11,,
1692,BUY,2022-07-22 09:00,2022-07-22 09:15,2022-07-22 15:45,time,23434.61,23171.89,23257.91,262.72,-8.93,1.04
1693,SELL,2022-07-22 16:00,2022-07-22 16:15,2022-07-23 01:45,time,23187.79,23479.95,22850.52,292.16,12.52,0.92
1694,BUY,2022-07-23 02:15,2022-07-23 02:30,2022-07-23 04:15,time,22881.17,22705.35,22738.72,175.82,-11.06,1.53
1695,BUY,2022-07-23 04:30,2022-07-23 04:45,2022-07-23 07:00,sl,22949.10,22776.77,22776.77,172.33,-13.20,1.55
1696,SELL,2022-07-23 08:45,2022-07-23 09:00,2022-07-23 20:00,time,22608.56,22820.23,22272.50,211.67,17.08,1.22
1697,BUY,2022-07-23 22:15,2022-07-23 22:30,2022-07-24 01:45,time,22407.07,22186.52,22429.28,220.55,-0.01,1.19
1698,BUY,2022-07-24 05:15,2022-07-24 05:30,2022-07-24 08:30,time,22641.22,22475.80,22625.72,165.42,-2.70,1.60
1699,SELL,2022-07-24 10:30,2022-07-24 10:45,2022-07-24 11:00,sl,22499.53,22682.61,22682.61,183.08,-13.11,1.44
1700,BUY,2022-07-24 15:00,2022-07-24 15:15,2022-07-24 22:45,sl,22861.31,22599.61,22599.61,261.70,-12.54,1.00
1701,SELL,2022-07-24 22:45,2022-07-24 23:00,2022-07-25 07:15,time,22661.22,22874.56,21997.53,213.34,34.31,1.19
1702,BUY,2022-07-25 08:30,2022-07-25 08:45,2022-07-25 12:00,sl,22020.66,21833.40,21833.40,187.26,-13.13,1.38
1703,SELL,2022-07-25 19:00,2022-07-25 19:15,2022-07-25 19:45,sl,21657.39,21865.41,21865.41,208.02,-12.84,1.22
1704,BUY,2022-07-25 20:00,2022-07-25 20:15,2022-07-25 22:00,sl,22166.41,21936.95,21936.95,229.46,-12.60,1.10
1705,SELL,2022-07-25 23:45,2022-07-26 00:00,2022-07-26 03:30,time,21310.90,21657.76,21160.19,346.86,4.24,0.70
1706,SELL,2022-07-26 13:00,2022-07-26 13:15,2022-07-26 17:00,sl,20895.30,21058.47,21058.47,163.17,-12.88,1.47
1707,BUY,2022-07-26 21:00,2022-07-26 21:15,2022-07-26 21:30,sl,21109.59,20910.59,20910.59,199.00,-12.48,1.19
1708,BUY,2022-07-26 23:45,2022-07-27 00:00,2022-07-27 03:45,time,21254.67,21026.21,21046.26,228.46,-11.21,1.03
1709,BUY,2022-07-27 07:00,2022-07-27 07:15,2022-07-27 11:45,sl,21372.04,21235.73,21235.73,136.31,-12.77,1.73
1710,BUY,2022-07-27 13:45,2022-07-27 14:00,2022-07-28 01:15,time,21463.90,21295.46,22725.92,168.44,80.38,1.43
1711,BUY,2022-07-28 02:45,2022-07-28 03:00,2022-07-28 07:00,sl,23282.54,23022.12,23022.12,260.42,-12.77,1.04
1712,SELL,2022-07-28 08:00,2022-07-28 08:15,2022-07-28 10:30,sl,22881.65,23062.84,23062.84,181.19,-13.07,1.47
1713,BUY,2022-07-28 15:15,2022-07-28 15:30,2022-07-29 11:30,time,23498.50,23141.22,23814.17,357.28,9.37,0.76
1714,SELL,2022-07-29 11:30,2022-07-29 11:45,2022-07-29 14:00,sl,23606.00,23866.22,23866.22,260.22,-12.61,1.05
1715,BUY,2022-07-29 23:00,2022-07-29 23:15,2022-07-29 23:45,sl,24095.91,23841.91,23841.91,254.00,-12.51,1.08
1716,BUY,2022-07-30 07:15,2022-07-30 07:30,2022-07-30 10:15,time,23879.99,23728.89,23772.26,151.10,-9.84,1.78
1717,BUY,2022-07-30 11:30,2022-07-30 11:45,2022-07-30 19:15,time,24022.47,23863.96,24438.88,158.51,27.73,1.71
1718,SELL,2022-07-30 19:30,2022-07-30 19:45,2022-07-31 10:30,time,24092.66,24305.34,23785.47,212.68,15.30,1.29
1719,BUY,2022-07-31 10:45,2022-07-31 11:00,2022-07-31 13:30,time,23825.62,23679.05,23716.49,146.57,-10.55,1.89
1720,SELL,2022-07-31 14:30,2022-07-31 14:45,2022-07-31 16:30,sl,23647.51,23805.87,23805.87,158.36,-13.26,1.73
1721,BUY,2022-07-31 18:00,2022-07-31 18:15,2022-07-31 18:15,sl,24123.02,23925.76,23925.76,197.26,,
1722,SELL,2022-07-31 22:15,2022-07-31 22:30,2022-08-01 14:15,time,23324.72,23669.56,23436.20,344.84,-4.46,0.77
1723,SELL,2022-08-01 17:30,2022-08-01 17:45,2022-08-01 21:00,time,22921.08,23216.78,23115.91,295.70,-8.36,0.88
1724,BUY,2022-08-01 22:45,2022-08-01 23:00,2022-08-02 01:45,time,23166.10,22961.01,23022.55,205.09,-9.15,1.27
1725,SELL,2022-08-02 03:00,2022-08-02 03:15,2022-08-02 14:15,sl,22816.22,23061.92,23061.92,245.70,-12.22,1.04
