symbol,window,trade_id,direction,outcome,net_pnl,realized_r,consec_loss,in_streak_ge_n,same_side_run,same_side_loss_run,atr_pct,channel_atr,breakout_atr,adx,bars_held,bars_since_prev_exit
BTCUSDT,2024-2026,534,SELL,sl,-303.0015,-1.0000,6,1,1,1,0.004698,4.2349,0.2241,11.1715,10.00,24.00
BTCUSDT,2024-2026,535,SELL,sl,-292.7113,-1.0000,7,1,2,2,0.005755,5.2644,1.7820,28.5970,1.00,34.00
BTCUSDT,2024-2026,536,BUY,time,832.2728,3.2965,0,0,1,0,0.007857,4.8497,0.1167,29.8422,116.00,26.00
BTCUSDT,2024-2026,537,SELL,sl,-296.6872,-1.0000,1,0,1,1,0.006162,4.1062,1.7939,18.7547,1.00,1.00
BTCUSDT,2024-2026,538,BUY,sl,-288.2311,-1.0000,2,0,1,1,0.007434,5.6151,1.0241,21.1509,3.00,8.00
BTCUSDT,2024-2026,539,SELL,sl,-283.4502,-1.0000,3,0,1,1,0.008090,3.5210,0.9141,23.9281,21.00,32.00
BTCUSDT,2024-2026,540,BUY,time,2.3301,0.1160,0,0,1,0,0.006235,4.5153,0.6286,26.6669,46.00,20.00
BTCUSDT,2024-2026,541,SELL,sl,-302.3317,-1.0000,1,0,1,1,0.003990,3.5405,0.6165,12.6041,34.00,26.00
BTCUSDT,2024-2026,542,BUY,time,103.3879,0.5253,0,0,1,0,0.005507,6.6553,0.3474,24.4934,34.00,3.00
BTCUSDT,2024-2026,543,SELL,sl,-287.8512,-1.0000,1,0,1,1,0.005567,3.3782,0.4307,18.9679,6.00,7.00
BTCUSDT,2024-2026,544,SELL,time,-140.5763,-0.4285,2,0,2,2,0.005353,3.9697,0.0236,18.9217,18.00,10.00
BTCUSDT,2024-2026,545,BUY,time,-104.8849,-0.0680,3,0,1,1,0.001920,14.9436,0.7454,12.0054,18.00,24.00
BTCUSDT,2024-2026,546,SELL,sl,-289.0350,-1.0000,4,0,1,1,0.004498,2.8704,0.5269,28.1146,5.00,18.00
BTCUSDT,2024-2026,547,BUY,time,103.9358,0.5064,0,0,1,0,0.007548,4.0553,0.9911,24.2062,38.00,5.00
BTCUSDT,2024-2026,548,SELL,time,-50.5803,-0.0635,1,1,1,1,0.004796,3.5307,0.3554,13.4825,23.00,26.00
BTCUSDT,2024-2026,549,SELL,time,-176.8816,-0.5692,2,1,2,2,0.004756,3.7969,1.6207,21.0985,29.00,7.00
BTCUSDT,2024-2026,550,BUY,sl,-335.4491,-1.0000,3,1,1,1,0.001873,5.5057,0.2624,18.2330,5.00,6.00
BTCUSDT,2024-2026,551,BUY,sl,-333.2215,-1.0000,4,1,2,2,0.001825,7.2245,0.4235,15.3853,23.00,9.00
BTCUSDT,2024-2026,552,SELL,time,-88.2864,-0.2497,5,1,1,1,0.005710,3.6421,1.7187,22.7274,17.00,9.00
BTCUSDT,2024-2026,553,BUY,sl,-268.0627,-1.0000,6,1,1,1,0.005660,3.9967,0.6461,21.1391,8.00,15.00
BTCUSDT,2024-2026,554,BUY,time,-218.8436,-0.8151,7,1,2,2,0.006188,3.6851,0.1077,12.0839,15.00,21.00
BTCUSDT,2024-2026,555,SELL,time,164.0357,0.8372,0,0,1,0,0.004771,5.0288,0.1448,26.5963,42.00,6.00
BTCUSDT,2024-2026,556,BUY,sl,-293.1061,-1.0000,1,0,1,1,0.002791,7.1832,0.2254,23.1215,3.00,2.00
BTCUSDT,2024-2026,557,SELL,sl,-276.5026,-1.0000,2,0,1,1,0.003656,4.5641,0.5577,18.6070,6.00,23.00
BTCUSDT,2024-2026,558,BUY,sl,-261.6674,-1.0000,3,0,1,1,0.005002,4.6764,0.5340,22.4328,7.00,2.00
BTCUSDT,2024-2026,559,BUY,time,26.0344,0.2507,0,0,2,0,0.004880,5.7318,0.1982,23.9410,42.00,21.00
BTCUSDT,2024-2026,560,BUY,sl,-277.5503,-1.0000,1,0,3,1,0.003109,4.1198,0.1532,17.3859,5.00,23.00
BTCUSDT,2024-2026,561,BUY,sl,-340.1792,-1.0000,2,0,4,2,0.001316,5.3885,0.3174,18.0149,6.00,45.00
BTCUSDT,2024-2026,562,SELL,time,118.5671,0.7068,0,0,1,0,0.003827,2.7614,0.9313,30.1055,20.00,18.00
BTCUSDT,2024-2026,563,SELL,sl,-277.2944,-1.0000,1,0,2,1,0.002785,8.5720,0.2040,23.6387,18.00,5.00
BTCUSDT,2024-2026,564,SELL,sl,-256.4196,-1.0000,2,0,3,2,0.004156,4.5324,0.5723,15.1863,5.00,32.00
BTCUSDT,2024-2026,565,SELL,sl,-265.7112,-1.0000,3,0,4,3,0.003078,6.7352,0.1659,28.0801,1.00,16.00
BTCUSDT,2024-2026,567,SELL,sl,-319.9945,-1.0000,4,0,5,4,0.001364,4.9095,0.4523,20.9969,3.00,55.00
BTCUSDT,2024-2026,568,BUY,time,13081.9839,62.1268,0,0,1,0,0.002234,4.7588,0.0942,20.3683,146.00,2.00
BTCUSDT,2024-2026,569,SELL,sl,-387.4663,-1.0000,1,0,1,1,0.005099,6.0630,1.0926,17.1378,2.00,1.00
BTCUSDT,2024-2026,570,BUY,sl,-376.1146,-1.0000,2,0,1,1,0.005997,4.7566,0.1445,13.2620,3.00,14.00
BTCUSDT,2024-2026,571,BUY,time,-314.4921,-0.8388,3,0,2,2,0.006618,4.8296,0.7528,11.5541,51.00,11.00
BTCUSDT,2024-2026,572,BUY,sl,-371.2678,-1.0000,4,0,3,3,0.005570,3.6443,1.1353,17.3856,4.00,18.00
BTCUSDT,2024-2026,573,SELL,time,102.2512,0.4139,0,0,1,0,0.006514,5.9889,0.1801,19.9017,23.00,27.00
BTCUSDT,2024-2026,574,BUY,sl,-417.2582,-1.0000,1,0,1,1,0.002482,4.8462,2.3272,14.5203,7.00,22.00
BTCUSDT,2024-2026,575,SELL,sl,-368.1006,-1.0000,2,0,1,1,0.005029,3.8502,0.5478,26.9573,7.00,4.00
BTCUSDT,2024-2026,576,SELL,time,-314.6533,-0.8587,3,0,2,2,0.005529,4.5224,0.1222,17.8059,33.00,35.00
BTCUSDT,2024-2026,577,BUY,time,383.0394,1.3361,0,0,1,0,0.005085,4.8004,1.1713,14.7603,24.00,10.00
BTCUSDT,2024-2026,578,SELL,sl,-400.6015,-1.0000,1,0,1,1,0.002731,3.0107,0.0133,13.3605,3.00,50.00
BTCUSDT,2024-2026,579,BUY,sl,-384.7498,-1.0000,2,0,1,1,0.003161,3.6595,0.7070,16.1631,1.00,6.00
BTCUSDT,2024-2026,580,SELL,sl,-362.9544,-1.0000,3,0,1,1,0.004292,4.7389,0.3989,22.0939,3.00,15.00
BTCUSDT,2024-2026,581,SELL,time,27.6661,0.2753,0,0,2,0,0.003579,6.6762,0.0046,27.6717,18.00,10.00
