symbol,window,trade_id,direction,outcome,net_pnl,realized_r,consec_loss,in_streak_ge_n,same_side_run,same_side_loss_run,atr_pct,channel_atr,breakout_atr,adx,bars_held,bars_since_prev_exit
ETHUSDT,2024-2026,128,SELL,sl,-138.6381,-1.0000,5,1,3,3,0.010728,6.9700,1.2656,21.3290,7.00,6.00
ETHUSDT,2024-2026,130,BUY,sl,-142.9830,-1.0000,6,1,1,1,0.006117,3.0745,0.4326,15.4632,13.00,56.00
ETHUSDT,2024-2026,131,SELL,sl,-138.6187,-1.0000,7,1,1,1,0.007735,4.7423,0.7332,23.5291,7.00,11.00
ETHUSDT,2024-2026,132,BUY,sl,-136.1961,-1.0000,8,1,1,1,0.008341,5.0666,0.3131,28.8554,5.00,13.00
ETHUSDT,2024-2026,133,BUY,sl,-138.0751,-1.0000,9,1,2,2,0.006244,4.1164,1.3017,19.1055,7.00,67.00
ETHUSDT,2024-2026,134,BUY,time,36.5707,0.3826,0,0,3,0,0.007737,5.1424,1.3271,33.3160,28.00,5.00
ETHUSDT,2024-2026,135,SELL,time,769.2334,6.2984,0,0,1,0,0.007587,4.4433,0.3199,31.3151,146.00,44.00
ETHUSDT,2024-2026,136,SELL,sl,-140.1673,-1.0000,1,1,2,1,0.010178,3.6836,1.2935,25.6735,1.00,3.00
ETHUSDT,2024-2026,137,BUY,time,-54.7738,-0.3644,2,1,1,1,0.011722,3.9329,0.0064,23.8619,23.00,10.00
ETHUSDT,2024-2026,138,SELL,sl,-140.2187,-1.0000,3,1,1,1,0.008136,6.5393,0.5321,19.7517,15.00,15.00
ETHUSDT,2024-2026,139,SELL,sl,-136.6948,-1.0000,4,1,2,2,0.010058,5.0023,0.1522,31.4465,4.00,41.00
ETHUSDT,2024-2026,140,SELL,time,-25.2533,-0.1437,5,1,3,3,0.012016,3.7649,0.7751,30.6324,17.00,4.00
ETHUSDT,2024-2026,141,SELL,sl,-139.1033,-1.0000,6,1,4,4,0.006736,3.5632,0.7688,16.8660,1.00,31.00
ETHUSDT,2024-2026,142,BUY,sl,-133.4776,-1.0000,7,1,1,1,0.009915,4.2231,0.1206,24.5385,41.00,24.00
ETHUSDT,2024-2026,143,SELL,sl,-131.8055,-1.0000,8,1,1,1,0.010379,3.9393,0.7769,20.9351,1.00,4.00
ETHUSDT,2024-2026,144,BUY,sl,-134.8906,-1.0000,9,1,1,1,0.006544,3.8608,2.0037,16.3079,26.00,49.00
ETHUSDT,2024-2026,145,SELL,time,31.1617,0.3901,0,0,1,0,0.005011,6.3224,0.2281,31.7534,41.00,28.00
ETHUSDT,2024-2026,146,BUY,sl,-131.3175,-1.0000,1,0,1,1,0.008144,5.2125,0.9947,30.1104,2.00,1.00
ETHUSDT,2024-2026,147,BUY,time,538.0903,4.5476,0,0,2,0,0.010124,4.0688,0.9167,23.8346,86.00,31.00
ETHUSDT,2024-2026,149,BUY,time,-37.5657,-0.2254,1,1,3,1,0.008987,4.5583,0.1448,24.4326,22.00,12.00
ETHUSDT,2024-2026,150,SELL,sl,-136.6746,-1.0000,2,1,1,1,0.007221,4.4973,0.7770,18.4479,9.00,41.00
ETHUSDT,2024-2026,151,BUY,time,-80.2935,-0.5560,3,1,1,1,0.007140,3.6394,0.2282,18.7744,18.00,36.00
ETHUSDT,2024-2026,152,SELL,sl,-139.0040,-1.0000,4,1,1,1,0.005106,4.1796,0.5607,20.9384,7.00,23.00
ETHUSDT,2024-2026,153,SELL,sl,-134.8487,-1.0000,5,1,2,2,0.006099,3.6608,0.6357,21.0940,4.00,11.00
ETHUSDT,2024-2026,154,SELL,sl,-129.4243,-1.0000,6,1,3,3,0.008701,3.7025,0.0404,31.2583,5.00,13.00
ETHUSDT,2024-2026,155,SELL,time,659.0637,5.6253,0,0,4,0,0.007995,4.5258,0.8443,23.0777,59.00,15.00
ETHUSDT,2024-2026,156,BUY,sl,-137.4590,-1.0000,1,1,1,1,0.006931,5.0266,0.2305,26.7562,1.00,11.00
ETHUSDT,2024-2026,157,BUY,time,-120.1002,-0.8822,2,1,2,2,0.007738,4.8115,0.9122,24.6152,29.00,2.00
ETHUSDT,2024-2026,158,BUY,sl,-141.7917,-1.0000,3,1,3,3,0.004317,4.4891,1.4457,21.5579,1.00,18.00
ETHUSDT,2024-2026,159,BUY,sl,-135.8672,-1.0000,4,1,4,4,0.005597,4.8636,2.2225,30.6473,8.00,9.00
ETHUSDT,2024-2026,160,SELL,sl,-129.8473,-1.0000,5,1,1,1,0.008267,3.7184,2.3107,14.3991,4.00,60.00
ETHUSDT,2024-2026,161,BUY,time,62.5179,0.6227,0,0,1,0,0.006931,5.8010,0.1721,18.7973,49.00,37.00
ETHUSDT,2024-2026,163,BUY,time,304.1935,2.6532,0,0,2,0,0.006487,3.3085,1.8710,21.0093,32.00,13.00
ETHUSDT,2024-2026,165,BUY,time,-112.3493,-0.8186,1,0,3,1,0.006651,4.3214,0.0844,15.3687,20.00,76.00
ETHUSDT,2024-2026,166,BUY,time,320.7807,2.8543,0,0,4,0,0.003235,2.8442,0.6379,23.5426,23.00,26.00
ETHUSDT,2024-2026,167,SELL,time,635.0242,5.1949,0,0,1,0,0.007165,6.0560,0.8946,32.9941,116.00,12.00
ETHUSDT,2024-2026,168,BUY,sl,-144.0787,-1.0000,1,0,1,1,0.006512,3.8576,0.8644,21.3632,2.00,37.00
ETHUSDT,2024-2026,169,BUY,time,119.1991,0.9975,0,0,2,0,0.008859,3.3749,0.8929,20.7800,63.00,11.00
ETHUSDT,2024-2026,170,SELL,time,62.8894,0.5564,0,0,1,0,0.008912,5.5389,1.7711,32.2963,22.00,1.00
ETHUSDT,2024-2026,171,SELL,time,63.7929,0.6048,0,0,2,0,0.005617,7.5452,0.0998,38.3489,31.00,25.00
ETHUSDT,2024-2026,173,BUY,time,2259.6795,17.2306,0,0,1,0,0.009847,5.0025,0.2002,25.3257,116.00,52.00
ETHUSDT,2024-2026,174,BUY,sl,-161.4731,-1.0000,1,1,2,1,0.014236,4.0173,0.4352,19.6546,34.00,20.00
ETHUSDT,2024-2026,175,SELL,sl,-158.0291,-1.0000,2,1,1,1,0.019414,3.8861,0.1901,22.1871,9.00,2.00
ETHUSDT,2024-2026,176,SELL,sl,-157.8879,-1.0000,3,1,2,2,0.015074,4.5361,0.1918,19.1878,1.00,25.00
ETHUSDT,2024-2026,177,SELL,sl,-156.2143,-1.0000,4,1,3,3,0.015129,5.2727,0.0255,27.3785,12.00,8.00
ETHUSDT,2024-2026,178,BUY,sl,-156.5029,-1.0000,5,1,1,1,0.011486,3.2167,0.6546,22.8689,21.00,16.00
ETHUSDT,2024-2026,179,BUY,sl,-155.0635,-1.0000,6,1,2,2,0.011202,3.2285,0.2962,15.9538,2.00,40.00
ETHUSDT,2024-2026,180,BUY,sl,-152.2025,-1.0000,7,1,3,3,0.013046,3.7294,0.2103,14.9734,1.00,5.00
ETHUSDT,2024-2026,181,SELL,sl,-153.7613,-1.0000,8,1,1,1,0.009242,3.3123,0.0491,10.5069,10.00,41.00
ETHUSDT,2024-2026,182,BUY,time,12.1405,0.1426,0,0,1,0,0.011713,3.3733,3.2693,17.7851,25.00,9.00
ETHUSDT,2024-2026,183,BUY,sl,-151.3704,-1.0000,1,0,2,1,0.009952,4.9863,0.2056,27.5237,2.00,24.00
ETHUSDT,2024-2026,184,SELL,sl,-150.2928,-1.0000,2,0,1,1,0.009550,5.1284,0.6368,21.6917,9.00,21.00
ETHUSDT,2024-2026,185,BUY,sl,-149.0410,-1.0000,3,0,1,1,0.009085,4.7856,1.4230,19.7653,4.00,12.00
